                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.58476,                0.43759,                0.99045,                0.92933,                0.76286,                0.83217,                0.56088,                 1.1903,                0.62694,                 1.4473,             0.00046896,             0.00046896,             0.00046896
                    107,                0.59748,                  0.447,                0.99922,                 0.9301,                0.75656,                0.83097,                 0.5405,                 1.2732,                0.65205,                 1.5045,              0.0004666,              0.0004666,              0.0004666
                    108,                0.59278,                 0.4434,                0.99142,                0.94023,                0.76623,                0.83436,                0.54756,                 1.2321,                0.63556,                 1.4806,             0.00046424,             0.00046424,             0.00046424
                    109,                0.57748,                0.43194,                0.99078,                0.90159,                0.76475,                0.82621,                0.54123,                 1.2409,                0.63201,                 1.5074,             0.00046189,             0.00046189,             0.00046189
                    110,                0.58877,                0.43762,                0.99456,                0.90689,                0.76877,                0.83563,                0.55388,                 1.2041,                0.63228,                 1.4728,             0.00045953,             0.00045953,             0.00045953
                    111,                0.56752,                0.42604,                0.98396,                0.89657,                0.75263,                0.81783,                0.51844,                 1.3457,                0.68597,                 1.5708,             0.00045717,             0.00045717,             0.00045717
                    112,                0.56802,                0.42477,                0.98071,                0.93185,                0.75993,                0.83051,                0.54416,                 1.2665,                0.64733,                 1.5374,             0.00045482,             0.00045482,             0.00045482
                    113,                0.56665,                0.42368,                0.98554,                0.90187,                 0.7811,                0.83713,                0.56966,                 1.1834,                0.63753,                 1.4496,             0.00045246,             0.00045246,             0.00045246
                    114,                0.56595,                0.41679,                0.98517,                0.90954,                0.77813,                0.83198,                0.54997,                 1.2237,                0.66283,                 1.5013,             0.00045011,             0.00045011,             0.00045011
                    115,                0.57237,                0.42869,                0.99004,                0.94885,                0.75829,                0.84065,                0.54632,                 1.2483,                0.67393,                 1.5341,             0.00044775,             0.00044775,             0.00044775
                    116,                0.56599,                0.42544,                0.98331,                0.93188,                0.77842,                0.83812,                0.53041,                 1.2831,                0.65044,                 1.5489,             0.00044539,             0.00044539,             0.00044539
                    117,                0.56613,                0.41887,                0.97802,                0.95429,                0.75988,                0.83703,                0.55941,                 1.1942,                  0.624,                 1.4912,             0.00044304,             0.00044304,             0.00044304
                    118,                0.56557,                0.41978,                0.98227,                0.93713,                0.75424,                0.83873,                0.55107,                 1.2325,                0.63852,                 1.4908,             0.00044068,             0.00044068,             0.00044068
                    119,                0.56006,                 0.4171,                0.97601,                0.92806,                0.76484,                0.83682,                0.54898,                 1.2466,                 0.6696,                 1.5146,             0.00043832,             0.00043832,             0.00043832
                    120,                0.55809,                0.41307,                0.97367,                0.91472,                 0.7692,                0.83886,                 0.5618,                 1.2109,                0.62866,                 1.4707,             0.00043597,             0.00043597,             0.00043597
                    121,                0.54946,                0.41193,                0.97124,                0.94235,                0.76319,                0.84309,                0.54705,                 1.2603,                 0.6275,                 1.5232,             0.00043361,             0.00043361,             0.00043361
                    122,                0.55944,                0.41121,                0.97777,                0.90702,                0.77294,                 0.8415,                0.55652,                 1.2199,                0.64377,                  1.487,             0.00043126,             0.00043126,             0.00043126
                    123,                0.55075,                 0.4095,                 0.9731,                0.91379,                0.76466,                0.83457,                0.55143,                 1.2349,                0.62332,                 1.4965,              0.0004289,              0.0004289,              0.0004289
                    124,                0.55678,                0.41105,                0.97864,                 0.9027,                0.77657,                0.83114,                0.55395,                 1.2271,                0.61072,                 1.5058,             0.00042654,             0.00042654,             0.00042654
                    125,                 0.5581,                0.41006,                0.97644,                0.92642,                0.74742,                0.82971,                0.54044,                 1.2873,                0.63949,                 1.5581,             0.00042419,             0.00042419,             0.00042419
                    126,                0.55529,                0.40965,                0.97655,                0.91548,                0.77284,                0.84253,                 0.5588,                 1.2404,                0.62424,                  1.516,             0.00042183,             0.00042183,             0.00042183
                    127,                0.54455,                0.40173,                0.96938,                0.89814,                0.76582,                0.83273,                0.55012,                 1.2343,                0.63311,                 1.5159,             0.00041947,             0.00041947,             0.00041947
                    128,                0.54292,                0.40004,                0.97149,                0.92439,                0.76144,                0.82864,                0.56564,                 1.1839,                0.61228,                 1.4519,             0.00041712,             0.00041712,             0.00041712
                    129,                0.54253,                0.40461,                0.97068,                0.92783,                0.76126,                 0.8324,                 0.5445,                 1.2525,                0.63082,                  1.544,             0.00041476,             0.00041476,             0.00041476
                    130,                0.54168,                 0.4015,                0.97235,                0.92705,                0.77194,                0.83496,                0.55457,                 1.2232,                0.63141,                 1.5003,             0.00041241,             0.00041241,             0.00041241
                    131,                0.53865,                0.40237,                0.96828,                0.92546,                0.77057,                0.83226,                 0.5414,                 1.2708,                0.64193,                 1.5538,             0.00041005,             0.00041005,             0.00041005
                    132,                0.54618,                0.40146,                0.97549,                0.94044,                0.76694,                0.83796,                0.56174,                 1.2156,                0.62389,                 1.5021,             0.00040769,             0.00040769,             0.00040769
                    133,                0.53636,                0.39452,                0.96092,                0.93198,                0.76284,                0.82943,                0.55198,                 1.2352,                0.63354,                 1.4964,             0.00040534,             0.00040534,             0.00040534
